name,position,height and weight,team
Sam Acho,ROLB,"(190cm, 117kg)",NA
Larry Asante,DB,"(183cm, 95kg)",NA
Joe Thomas,LB,"(185cm, 105kg)",Dallas Cowboys
Wendell Smallwood,RB,"(178cm, 94kg)",Washington Redskins
Greg Lloyd,LB,"(188cm, 103kg)",NA
Brandon Thompson,DT,"(188cm, 142kg)",NA
Jordan Moore,S,"(190cm, 102kg)",NA
Nick Easton,C,"(190cm, 137kg)",New Orleans Saints
Danny Vitale ,FB,"(183cm, 108kg)",New England Patriots
Wesley Walls,TE,"(196cm, 108kg)",NA
Vontarrius Dora,LB,"(193cm, 116kg)",Arizona Cardinals
Kendell Beckwith,ILB,"(188cm, 110kg)",Tampa Bay Buccaneers
